Script started on Tue 05 May 2026 10:10:59 PM EDT
]0;mdv@login00.darwin:~/nnp_public/pre-parallel[?1034h[(ea-cisc372-silber:mdv)@login00.darwin pre-parallel]$ salloc --ntasks=1 --cpus-per-task=1 --gpus=1 --partition=gpu-v100
salloc: Granted job allocation 6206903
salloc: Waiting for resource configuration
salloc: Nodes r2v02 are ready for job
]0;mdv@:~/nnp_public/pre-parallel[?1034h[mdv@r2v02 pre-parallel]$ vpkg_require cuda
Adding package `cuda/11.3.1-465.19.01` to your environment
]0;mdv@:~/nnp_public/pre-parallel[mdv@r2v02 pre-parallel]$ srun ./nnp train
Epoch 0, Loss=1.9995
Epoch 1, Loss=0.7165
Epoch 2, Loss=0.4436
Epoch 3, Loss=0.3710
Epoch 4, Loss=0.3347
Trained model in 2.222 seconds
]0;mdv@:~/nnp_public/pre-parallel[mdv@r2v02 pre-parallel]$ srun ./nnp predict
Predicted digit: 7 (confidence 0.99)
Predicted digit: 2 (confidence 0.90)
Predicted digit: 1 (confidence 0.97)
Predicted digit: 0 (confidence 1.00)
Predicted digit: 4 (confidence 0.87)
Predicted digit: 1 (confidence 0.99)
Predicted digit: 4 (confidence 0.94)
Predicted digit: 9 (confidence 0.89)
Predicted digit: 6 (confidence 0.98)
Predicted digit: 9 (confidence 0.93)
Predicted digit: 0 (confidence 0.96)
Predicted digit: 6 (confidence 0.82)
Predicted digit: 9 (confidence 0.96)
Predicted digit: 0 (confidence 0.99)
Predicted digit: 1 (confidence 1.00)
Predicted digit: 5 (confidence 0.72)
Predicted digit: 9 (confidence 0.92)
Predicted digit: 7 (confidence 0.99)
Predicted digit: 3 (confidence 0.72)
Predicted digit: 4 (confidence 0.95)
Predicted digit: 9 (confidence 0.84)
Predicted digit: 6 (confidence 0.97)
Predicted digit: 6 (confidence 0.73)
Predicted digit: 5 (confidence 0.93)
Predicted digit: 4 (confidence 0.74)
Predicted digit: 0 (confidence 1.00)
Predicted digit: 7 (confidence 0.94)
Predicted digit: 4 (confidence 0.95)
Predicted digit: 0 (confidence 1.00)
Predicted digit: 1 (confidence 0.96)
Predicted digit: 3 (confidence 0.97)
Predicted digit: 1 (confidence 0.95)
Predicted digit: 3 (confidence 0.94)
Predicted digit: 6 (confidence 0.68)
Predicted digit: 7 (confidence 0.97)
Predicted digit: 2 (confidence 0.98)
Predicted digit: 7 (confidence 0.95)
Predicted digit: 1 (confidence 0.99)
Predicted digit: 3 (confidence 0.46)
Predicted digit: 1 (confidence 0.99)
Predicted digit: 1 (confidence 0.95)
Predicted digit: 7 (confidence 0.91)
Predicted digit: 4 (confidence 0.83)
Predicted digit: 2 (confidence 0.78)
Predicted digit: 3 (confidence 0.83)
Predicted digit: 5 (confidence 0.91)
Predicted digit: 1 (confidence 0.84)
Predicted digit: 2 (confidence 0.69)
Predicted digit: 4 (confidence 0.94)
Predicted digit: 4 (confidence 0.94)
Predicted digit: 6 (confidence 0.97)
Predicted digit: 3 (confidence 0.99)
Predicted digit: 5 (confidence 0.90)
Predicted digit: 5 (confidence 0.79)
Predicted digit: 6 (confidence 0.92)
Predicted digit: 0 (confidence 0.93)
Predicted digit: 4 (confidence 0.99)
Predicted digit: 1 (confidence 0.96)
Predicted digit: 9 (confidence 0.95)
Predicted digit: 5 (confidence 0.64)
Predicted digit: 7 (confidence 0.99)
Predicted digit: 8 (confidence 0.93)
Predicted digit: 4 (confidence 0.47)
Predicted digit: 3 (confidence 0.71)
Predicted digit: 7 (confidence 0.95)
Predicted digit: 4 (confidence 0.75)
Predicted digit: 2 (confidence 0.42)
Predicted digit: 4 (confidence 0.98)
